sample_id,r1,r2
N09_1_4,/bulkpool/sequence_data/mss_data/N09_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N09_1_4_R2.fastq.gz
N09_2_2,/bulkpool/sequence_data/mss_data/N09_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N09_2_2_R2.fastq.gz
N09_2_3,/bulkpool/sequence_data/mss_data/N09_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N09_2_3_R2.fastq.gz
N09_2_4,/bulkpool/sequence_data/mss_data/N09_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N09_2_4_R2.fastq.gz
N10_1_2,/bulkpool/sequence_data/mss_data/N10_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N10_1_2_R2.fastq.gz
N10_1_3,/bulkpool/sequence_data/mss_data/N10_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N10_1_3_R2.fastq.gz
N10_1_4,/bulkpool/sequence_data/mss_data/N10_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N10_1_4_R2.fastq.gz
N10_2_2,/bulkpool/sequence_data/mss_data/N10_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N10_2_2_R2.fastq.gz
N10_2_3,/bulkpool/sequence_data/mss_data/N10_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N10_2_3_R2.fastq.gz
N10_2_4,/bulkpool/sequence_data/mss_data/N10_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N10_2_4_R2.fastq.gz
N11_1_2,/bulkpool/sequence_data/mss_data/N11_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N11_1_2_R2.fastq.gz
N11_1_3,/bulkpool/sequence_data/mss_data/N11_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N11_1_3_R2.fastq.gz
N11_1_4,/bulkpool/sequence_data/mss_data/N11_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N11_1_4_R2.fastq.gz
N11_2_2,/bulkpool/sequence_data/mss_data/N11_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N11_2_2_R2.fastq.gz
N11_2_3,/bulkpool/sequence_data/mss_data/N11_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N11_2_3_R2.fastq.gz
N11_2_4,/bulkpool/sequence_data/mss_data/N11_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N11_2_4_R2.fastq.gz
N12_1_2,/bulkpool/sequence_data/mss_data/N12_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N12_1_2_R2.fastq.gz
N12_1_3,/bulkpool/sequence_data/mss_data/N12_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N12_1_3_R2.fastq.gz
N12_1_4,/bulkpool/sequence_data/mss_data/N12_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N12_1_4_R2.fastq.gz
N13_1_2,/bulkpool/sequence_data/mss_data/N13_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N13_1_2_R2.fastq.gz
N13_1_3,/bulkpool/sequence_data/mss_data/N13_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N13_1_3_R2.fastq.gz
N13_1_4,/bulkpool/sequence_data/mss_data/N13_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N13_1_4_R2.fastq.gz
N13_2_2,/bulkpool/sequence_data/mss_data/N13_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N13_2_2_R2.fastq.gz
N13_2_3,/bulkpool/sequence_data/mss_data/N13_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N13_2_3_R2.fastq.gz
N13_2_4,/bulkpool/sequence_data/mss_data/N13_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N13_2_4_R2.fastq.gz
N14_1_2,/bulkpool/sequence_data/mss_data/N14_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N14_1_2_R2.fastq.gz
N14_1_3,/bulkpool/sequence_data/mss_data/N14_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N14_1_3_R2.fastq.gz
N14_1_4,/bulkpool/sequence_data/mss_data/N14_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N14_1_4_R2.fastq.gz
N14_2_2,/bulkpool/sequence_data/mss_data/N14_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N14_2_2_R2.fastq.gz
N14_2_3,/bulkpool/sequence_data/mss_data/N14_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N14_2_3_R2.fastq.gz
N14_2_4,/bulkpool/sequence_data/mss_data/N14_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N14_2_4_R2.fastq.gz
N15_1_2,/bulkpool/sequence_data/mss_data/N15_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N15_1_2_R2.fastq.gz
N15_1_3,/bulkpool/sequence_data/mss_data/N15_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N15_1_3_R2.fastq.gz
N15_1_4,/bulkpool/sequence_data/mss_data/N15_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N15_1_4_R2.fastq.gz
N15_2_2,/bulkpool/sequence_data/mss_data/N15_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N15_2_2_R2.fastq.gz
N15_2_3,/bulkpool/sequence_data/mss_data/N15_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N15_2_3_R2.fastq.gz
N15_2_4,/bulkpool/sequence_data/mss_data/N15_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N15_2_4_R2.fastq.gz
N16_1_2,/bulkpool/sequence_data/mss_data/N16_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N16_1_2_R2.fastq.gz
N16_1_3,/bulkpool/sequence_data/mss_data/N16_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N16_1_3_R2.fastq.gz
N16_1_4,/bulkpool/sequence_data/mss_data/N16_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N16_1_4_R2.fastq.gz
N16_2_2,/bulkpool/sequence_data/mss_data/N16_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N16_2_2_R2.fastq.gz
N16_2_3,/bulkpool/sequence_data/mss_data/N16_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N16_2_3_R2.fastq.gz
N16_2_4,/bulkpool/sequence_data/mss_data/N16_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N16_2_4_R2.fastq.gz
N17_1_2,/bulkpool/sequence_data/mss_data/N17_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N17_1_2_R2.fastq.gz
N17_1_3,/bulkpool/sequence_data/mss_data/N17_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N17_1_3_R2.fastq.gz
N17_1_4,/bulkpool/sequence_data/mss_data/N17_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N17_1_4_R2.fastq.gz
N17_2_2,/bulkpool/sequence_data/mss_data/N17_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N17_2_2_R2.fastq.gz
N17_2_3,/bulkpool/sequence_data/mss_data/N17_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N17_2_3_R2.fastq.gz
N17_2_4,/bulkpool/sequence_data/mss_data/N17_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N17_2_4_R2.fastq.gz
N18_1_2,/bulkpool/sequence_data/mss_data/N18_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N18_1_2_R2.fastq.gz
N18_1_3,/bulkpool/sequence_data/mss_data/N18_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N18_1_3_R2.fastq.gz
N18_1_4,/bulkpool/sequence_data/mss_data/N18_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N18_1_4_R2.fastq.gz
N18_2_2,/bulkpool/sequence_data/mss_data/N18_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N18_2_2_R2.fastq.gz
N18_2_3,/bulkpool/sequence_data/mss_data/N18_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N18_2_3_R2.fastq.gz
N18_2_4,/bulkpool/sequence_data/mss_data/N18_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N18_2_4_R2.fastq.gz
N19_1_2,/bulkpool/sequence_data/mss_data/N19_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N19_1_2_R2.fastq.gz
N19_1_3,/bulkpool/sequence_data/mss_data/N19_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N19_1_3_R2.fastq.gz
N19_1_4,/bulkpool/sequence_data/mss_data/N19_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N19_1_4_R2.fastq.gz
N19_2_2,/bulkpool/sequence_data/mss_data/N19_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N19_2_2_R2.fastq.gz
N19_2_3,/bulkpool/sequence_data/mss_data/N19_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N19_2_3_R2.fastq.gz
N19_2_4,/bulkpool/sequence_data/mss_data/N19_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N19_2_4_R2.fastq.gz
N20_1_2,/bulkpool/sequence_data/mss_data/N20_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N20_1_2_R2.fastq.gz
N20_1_3,/bulkpool/sequence_data/mss_data/N20_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N20_1_3_R2.fastq.gz
N20_1_4,/bulkpool/sequence_data/mss_data/N20_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N20_1_4_R2.fastq.gz
N20_2_2,/bulkpool/sequence_data/mss_data/N20_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N20_2_2_R2.fastq.gz
N20_2_3,/bulkpool/sequence_data/mss_data/N20_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N20_2_3_R2.fastq.gz
N20_2_4,/bulkpool/sequence_data/mss_data/N20_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N20_2_4_R2.fastq.gz
N21_1_2,/bulkpool/sequence_data/mss_data/N21_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N21_1_2_R2.fastq.gz
N21_1_3,/bulkpool/sequence_data/mss_data/N21_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N21_1_3_R2.fastq.gz
N21_1_4,/bulkpool/sequence_data/mss_data/N21_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N21_1_4_R2.fastq.gz
N21_2_2,/bulkpool/sequence_data/mss_data/N21_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N21_2_2_R2.fastq.gz
N21_2_3,/bulkpool/sequence_data/mss_data/N21_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N21_2_3_R2.fastq.gz
N21_2_4,/bulkpool/sequence_data/mss_data/N21_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N21_2_4_R2.fastq.gz
N22_1_2,/bulkpool/sequence_data/mss_data/N22_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N22_1_2_R2.fastq.gz
N22_1_3,/bulkpool/sequence_data/mss_data/N22_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N22_1_3_R2.fastq.gz
N22_1_4,/bulkpool/sequence_data/mss_data/N22_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N22_1_4_R2.fastq.gz
N22_2_2,/bulkpool/sequence_data/mss_data/N22_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N22_2_2_R2.fastq.gz
N22_2_3,/bulkpool/sequence_data/mss_data/N22_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N22_2_3_R2.fastq.gz
N22_2_4,/bulkpool/sequence_data/mss_data/N22_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N22_2_4_R2.fastq.gz
N23_1_4,/bulkpool/sequence_data/mss_data/N23_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N23_1_4_R2.fastq.gz
N23_2_2,/bulkpool/sequence_data/mss_data/N23_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N23_2_2_R2.fastq.gz
N23_2_3,/bulkpool/sequence_data/mss_data/N23_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N23_2_3_R2.fastq.gz
N23_2_4,/bulkpool/sequence_data/mss_data/N23_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N23_2_4_R2.fastq.gz
N24_1_2,/bulkpool/sequence_data/mss_data/N24_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N24_1_2_R2.fastq.gz
N24_1_3,/bulkpool/sequence_data/mss_data/N24_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N24_1_3_R2.fastq.gz
N24_1_4,/bulkpool/sequence_data/mss_data/N24_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N24_1_4_R2.fastq.gz
N24_2_3,/bulkpool/sequence_data/mss_data/N24_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N24_2_3_R2.fastq.gz
N24_2_4,/bulkpool/sequence_data/mss_data/N24_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N24_2_4_R2.fastq.gz
N25_1_2,/bulkpool/sequence_data/mss_data/N25_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N25_1_2_R2.fastq.gz
N25_1_3,/bulkpool/sequence_data/mss_data/N25_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N25_1_3_R2.fastq.gz
N25_1_4,/bulkpool/sequence_data/mss_data/N25_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N25_1_4_R2.fastq.gz
N25_2_2,/bulkpool/sequence_data/mss_data/N25_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N25_2_2_R2.fastq.gz
N25_2_3,/bulkpool/sequence_data/mss_data/N25_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N25_2_3_R2.fastq.gz
N25_2_4,/bulkpool/sequence_data/mss_data/N25_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N25_2_4_R2.fastq.gz
N26_1_4,/bulkpool/sequence_data/mss_data/N26_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N26_1_4_R2.fastq.gz
N27_1_2,/bulkpool/sequence_data/mss_data/N27_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N27_1_2_R2.fastq.gz
N27_1_3,/bulkpool/sequence_data/mss_data/N27_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N27_1_3_R2.fastq.gz
N27_1_4,/bulkpool/sequence_data/mss_data/N27_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N27_1_4_R2.fastq.gz
N27_2_3,/bulkpool/sequence_data/mss_data/N27_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N27_2_3_R2.fastq.gz
N27_2_4,/bulkpool/sequence_data/mss_data/N27_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N27_2_4_R2.fastq.gz
N28_1_2,/bulkpool/sequence_data/mss_data/N28_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N28_1_2_R2.fastq.gz
N28_1_3,/bulkpool/sequence_data/mss_data/N28_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N28_1_3_R2.fastq.gz
N28_1_4,/bulkpool/sequence_data/mss_data/N28_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N28_1_4_R2.fastq.gz
N28_2_3,/bulkpool/sequence_data/mss_data/N28_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N28_2_3_R2.fastq.gz
N28_2_4,/bulkpool/sequence_data/mss_data/N28_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N28_2_4_R2.fastq.gz
N29_1_2,/bulkpool/sequence_data/mss_data/N29_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N29_1_2_R2.fastq.gz
N29_1_3,/bulkpool/sequence_data/mss_data/N29_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N29_1_3_R2.fastq.gz
N29_1_4,/bulkpool/sequence_data/mss_data/N29_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N29_1_4_R2.fastq.gz
N29_2_2,/bulkpool/sequence_data/mss_data/N29_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N29_2_2_R2.fastq.gz
N29_2_3,/bulkpool/sequence_data/mss_data/N29_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N29_2_3_R2.fastq.gz
N29_2_4,/bulkpool/sequence_data/mss_data/N29_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N29_2_4_R2.fastq.gz
N30_1_2,/bulkpool/sequence_data/mss_data/N30_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N30_1_2_R2.fastq.gz
N30_1_3,/bulkpool/sequence_data/mss_data/N30_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N30_1_3_R2.fastq.gz
N30_1_4,/bulkpool/sequence_data/mss_data/N30_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N30_1_4_R2.fastq.gz
N30_2_2,/bulkpool/sequence_data/mss_data/N30_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N30_2_2_R2.fastq.gz
N30_2_4,/bulkpool/sequence_data/mss_data/N30_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N30_2_4_R2.fastq.gz
N31_1_2,/bulkpool/sequence_data/mss_data/N31_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N31_1_2_R2.fastq.gz
N31_1_3,/bulkpool/sequence_data/mss_data/N31_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N31_1_3_R2.fastq.gz
N31_1_4,/bulkpool/sequence_data/mss_data/N31_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N31_1_4_R2.fastq.gz
N31_2_2,/bulkpool/sequence_data/mss_data/N31_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N31_2_2_R2.fastq.gz
N31_2_4,/bulkpool/sequence_data/mss_data/N31_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N31_2_4_R2.fastq.gz
N32_1_2,/bulkpool/sequence_data/mss_data/N32_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N32_1_2_R2.fastq.gz
N32_1_3,/bulkpool/sequence_data/mss_data/N32_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N32_1_3_R2.fastq.gz
N32_1_4,/bulkpool/sequence_data/mss_data/N32_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N32_1_4_R2.fastq.gz
N32_2_3,/bulkpool/sequence_data/mss_data/N32_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N32_2_3_R2.fastq.gz
N32_2_4,/bulkpool/sequence_data/mss_data/N32_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N32_2_4_R2.fastq.gz
N33_1_3,/bulkpool/sequence_data/mss_data/N33_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N33_1_3_R2.fastq.gz
N33_1_4,/bulkpool/sequence_data/mss_data/N33_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N33_1_4_R2.fastq.gz
N33_2_3,/bulkpool/sequence_data/mss_data/N33_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N33_2_3_R2.fastq.gz
N33_2_4,/bulkpool/sequence_data/mss_data/N33_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N33_2_4_R2.fastq.gz
N34_1_2,/bulkpool/sequence_data/mss_data/N34_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N34_1_2_R2.fastq.gz
N34_1_3,/bulkpool/sequence_data/mss_data/N34_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N34_1_3_R2.fastq.gz
N34_1_4,/bulkpool/sequence_data/mss_data/N34_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N34_1_4_R2.fastq.gz
N34_2_2,/bulkpool/sequence_data/mss_data/N34_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N34_2_2_R2.fastq.gz
N34_2_3,/bulkpool/sequence_data/mss_data/N34_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N34_2_3_R2.fastq.gz
N35_1_2,/bulkpool/sequence_data/mss_data/N35_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N35_1_2_R2.fastq.gz
