Feature,SHAP Importance,Microbe
PostNatalAbxCohort,0.3285035109017678,Klebsiella.oxytoca
Location,0.37954045129625924,Klebsiella.oxytoca
PICC,0.6235790639286657,Klebsiella.oxytoca
SampleCollectionWeek,0.8894405093599196,Klebsiella.oxytoca
SampleType,1.3505846039521932,Klebsiella.oxytoca
NEC_30D,0.0908203262628412,Staphylococcus.epidermidis
Delivery,0.1200012245257932,Staphylococcus.epidermidis
BSI_30D,0.13351633080638722,Staphylococcus.epidermidis
MaternalAntibiotics,0.15427113719359647,Staphylococcus.epidermidis
GestationCohort,0.1766075204695937,Staphylococcus.epidermidis
UVC,0.18617821589587324,Staphylococcus.epidermidis
AnyMilk,0.1892080327010889,Staphylococcus.epidermidis
PICC,0.35530657133667554,Staphylococcus.epidermidis
Location,0.3628085996317563,Staphylococcus.epidermidis
SampleCollectionWeek,0.4982862316336786,Staphylococcus.epidermidis
PostNatalAbxCohort,0.6868731281285106,Staphylococcus.epidermidis
SampleType,1.0275994006246512,Staphylococcus.epidermidis
NEC_30D,0.026845109393820454,Streptococcus.pyogenes
Delivery,0.0771185097995127,Streptococcus.pyogenes
MaternalAntibiotics,0.08317450888200882,Streptococcus.pyogenes
AnyMilk,0.1012753724106443,Streptococcus.pyogenes
Location,0.11593121309450494,Streptococcus.pyogenes
UVC,0.12909543091540446,Streptococcus.pyogenes
BSI_30D,0.13523060293402192,Streptococcus.pyogenes
GestationCohort,0.1447417387785476,Streptococcus.pyogenes
SampleCollectionWeek,0.23775699410442971,Streptococcus.pyogenes
PICC,0.2950220235997794,Streptococcus.pyogenes
PostNatalAbxCohort,0.3315666247427035,Streptococcus.pyogenes
SampleType,0.40166217935327925,Streptococcus.pyogenes
NEC_30D,0.03115292792876096,Enterococcus.faecium
UVC,0.043153532564082414,Enterococcus.faecium
Delivery,0.07092665660913317,Enterococcus.faecium
BSI_30D,0.2112368204513947,Enterococcus.faecium
AnyMilk,0.22397749739102352,Enterococcus.faecium
GestationCohort,0.2627580372198595,Enterococcus.faecium
MaternalAntibiotics,0.283862189608702,Enterococcus.faecium
PICC,0.35190163663000945,Enterococcus.faecium
PostNatalAbxCohort,0.37257443114464917,Enterococcus.faecium
Location,0.4708082322717968,Enterococcus.faecium
SampleCollectionWeek,0.5386553083757465,Enterococcus.faecium
SampleType,0.923949513961881,Enterococcus.faecium
NEC_30D,0.031003251064766136,Enterococcus.faecalis
UVC,0.06941980278726642,Enterococcus.faecalis
Delivery,0.17481511447135803,Enterococcus.faecalis
AnyMilk,0.2132809342983262,Enterococcus.faecalis
GestationCohort,0.2769864901943728,Enterococcus.faecalis
BSI_30D,0.3377208000325457,Enterococcus.faecalis
MaternalAntibiotics,0.3390588676114151,Enterococcus.faecalis
PostNatalAbxCohort,0.4459907734148201,Enterococcus.faecalis
PICC,0.5491798369640803,Enterococcus.faecalis
SampleCollectionWeek,0.7796618597174866,Enterococcus.faecalis
Location,1.2003374431424605,Enterococcus.faecalis
SampleType,1.673497539885003,Enterococcus.faecalis
NEC_30D,0.02275341288050407,Serratia.marcescens
UVC,0.09435721854577225,Serratia.marcescens
BSI_30D,0.13521564235122605,Serratia.marcescens
AnyMilk,0.1504399560039946,Serratia.marcescens
Delivery,0.1689590788604869,Serratia.marcescens
MaternalAntibiotics,0.22019555835842178,Serratia.marcescens
GestationCohort,0.22520247599760573,Serratia.marcescens
Location,0.2578500103794416,Serratia.marcescens
PICC,0.34216542268835687,Serratia.marcescens
PostNatalAbxCohort,0.408709819340099,Serratia.marcescens
SampleCollectionWeek,0.6380251954273493,Serratia.marcescens
SampleType,1.5179762852608416,Serratia.marcescens
